Food_ID,Food_Name,claims_count
463,Soup,5
486,Chicken,5
548,Fish,5
35,Rice,4
92,Chicken,4
190,Salad,4
217,Soup,4
251,Dairy,4
520,Fish,4
674,Vegetables,4
696,Rice,4
797,Dairy,4
832,Fish,4
861,Dairy,4
882,Salad,4
886,Bread,4
915,Vegetables,4
925,Salad,4
981,Dairy,4
16,Dairy,3
30,Soup,3
58,Pasta,3
84,Rice,3
96,Dairy,3
101,Dairy,3
107,Salad,3
115,Pasta,3
151,Chicken,3
152,Fish,3
174,Chicken,3
188,Soup,3
214,Soup,3
215,Bread,3
224,Fruits,3
230,Fruits,3
233,Fish,3
241,Fish,3
256,Rice,3
258,Fish,3
271,Rice,3
297,Pasta,3
335,Rice,3
345,Pasta,3
374,Chicken,3
380,Soup,3
398,Dairy,3
427,Soup,3
460,Dairy,3
465,Rice,3
479,Salad,3
505,Pasta,3
528,Chicken,3
558,Chicken,3
579,Dairy,3
599,Fruits,3
606,Pasta,3
609,Bread,3
615,Salad,3
622,Fish,3
632,Fruits,3
636,Fish,3
670,Salad,3
730,Soup,3
743,Chicken,3
744,Fish,3
786,Rice,3
798,Fish,3
822,Dairy,3
837,Soup,3
870,Fish,3
909,Fish,3
912,Dairy,3
937,Bread,3
945,Vegetables,3
947,Bread,3
952,Pasta,3
964,Rice,3
1,Bread,2
9,Bread,2
22,Chicken,2
23,Salad,2
25,Rice,2
37,Fish,2
49,Fish,2
50,Salad,2
52,Vegetables,2
56,Vegetables,2
59,Vegetables,2
65,Fruits,2
69,Bread,2
72,Dairy,2
73,Soup,2
89,Chicken,2
94,Rice,2
97,Rice,2
109,Fruits,2
110,Salad,2
114,Vegetables,2
116,Soup,2
128,Rice,2
141,Dairy,2
153,Fish,2
156,Fish,2
160,Rice,2
163,Bread,2
164,Dairy,2
165,Bread,2
166,Soup,2
168,Salad,2
175,Dairy,2
179,Bread,2
180,Salad,2
199,Vegetables,2
202,Dairy,2
203,Pasta,2
206,Rice,2
207,Salad,2
210,Fruits,2
216,Vegetables,2
223,Bread,2
225,Fish,2
226,Rice,2
227,Vegetables,2
243,Fruits,2
253,Rice,2
262,Dairy,2
275,Fish,2
284,Vegetables,2
290,Dairy,2
291,Salad,2
294,Bread,2
299,Dairy,2
302,Bread,2
304,Fish,2
320,Vegetables,2
321,Pasta,2
326,Soup,2
353,Fruits,2
371,Bread,2
373,Rice,2
379,Rice,2
381,Pasta,2
385,Pasta,2
390,Soup,2
403,Bread,2
406,Salad,2
410,Salad,2
413,Salad,2
415,Vegetables,2
418,Vegetables,2
419,Rice,2
435,Chicken,2
438,Dairy,2
444,Dairy,2
446,Bread,2
457,Soup,2
474,Rice,2
475,Pasta,2
476,Fruits,2
485,Salad,2
487,Fruits,2
492,Pasta,2
494,Bread,2
496,Chicken,2
502,Dairy,2
504,Rice,2
507,Chicken,2
508,Dairy,2
515,Dairy,2
529,Dairy,2
531,Salad,2
534,Vegetables,2
538,Dairy,2
544,Soup,2
554,Soup,2
560,Fruits,2
565,Pasta,2
572,Bread,2
574,Vegetables,2
589,Rice,2
594,Chicken,2
596,Fish,2
600,Rice,2
602,Chicken,2
611,Vegetables,2
616,Fish,2
623,Salad,2
624,Fish,2
626,Salad,2
633,Salad,2
640,Pasta,2
657,Rice,2
663,Dairy,2
673,Rice,2
682,Pasta,2
683,Soup,2
684,Rice,2
690,Fruits,2
695,Fruits,2
705,Fruits,2
707,Soup,2
715,Soup,2
762,Soup,2
765,Soup,2
771,Chicken,2
778,Dairy,2
782,Rice,2
791,Soup,2
801,Chicken,2
806,Soup,2
807,Salad,2
812,Bread,2
813,Fish,2
819,Bread,2
820,Fruits,2
826,Bread,2
828,Vegetables,2
836,Salad,2
839,Chicken,2
844,Fish,2
851,Fruits,2
853,Rice,2
855,Salad,2
866,Fish,2
877,Chicken,2
879,Chicken,2
892,Bread,2
893,Salad,2
896,Vegetables,2
902,Salad,2
904,Chicken,2
906,Soup,2
911,Fish,2
913,Fruits,2
917,Soup,2
920,Soup,2
921,Chicken,2
924,Fish,2
926,Rice,2
929,Bread,2
932,Pasta,2
935,Vegetables,2
940,Fish,2
949,Pasta,2
950,Pasta,2
951,Vegetables,2
958,Soup,2
962,Soup,2
969,Soup,2
973,Fruits,2
977,Vegetables,2
984,Chicken,2
991,Vegetables,2
997,Fish,2
3,Fruits,1
6,Vegetables,1
7,Dairy,1
11,Pasta,1
13,Fruits,1
17,Chicken,1
18,Soup,1
19,Rice,1
28,Chicken,1
29,Bread,1
31,Bread,1
33,Salad,1
34,Bread,1
36,Rice,1
39,Bread,1
40,Fruits,1
41,Chicken,1
43,Pasta,1
45,Fish,1
46,Pasta,1
47,Salad,1
55,Vegetables,1
61,Fruits,1
63,Salad,1
64,Soup,1
66,Fish,1
67,Rice,1
70,Rice,1
71,Fish,1
74,Chicken,1
78,Chicken,1
79,Rice,1
80,Dairy,1
81,Fruits,1
83,Rice,1
85,Pasta,1
86,Soup,1
88,Vegetables,1
90,Bread,1
95,Pasta,1
98,Salad,1
100,Vegetables,1
104,Dairy,1
106,Rice,1
108,Fruits,1
111,Soup,1
113,Soup,1
119,Bread,1
120,Rice,1
125,Rice,1
126,Dairy,1
129,Chicken,1
131,Fish,1
132,Soup,1
133,Rice,1
134,Rice,1
135,Rice,1
136,Bread,1
137,Pasta,1
138,Soup,1
143,Fish,1
144,Bread,1
148,Pasta,1
149,Fish,1
150,Fish,1
154,Pasta,1
157,Chicken,1
161,Vegetables,1
162,Pasta,1
167,Fish,1
172,Rice,1
173,Soup,1
178,Dairy,1
181,Rice,1
183,Salad,1
187,Dairy,1
189,Salad,1
191,Salad,1
193,Pasta,1
194,Chicken,1
195,Vegetables,1
197,Rice,1
200,Bread,1
205,Dairy,1
208,Rice,1
211,Chicken,1
220,Pasta,1
221,Bread,1
228,Rice,1
229,Pasta,1
232,Soup,1
234,Rice,1
236,Soup,1
237,Salad,1
239,Pasta,1
240,Fruits,1
245,Chicken,1
246,Salad,1
250,Bread,1
252,Chicken,1
254,Rice,1
257,Chicken,1
260,Fruits,1
261,Pasta,1
265,Fruits,1
269,Soup,1
272,Vegetables,1
273,Salad,1
277,Pasta,1
278,Soup,1
279,Chicken,1
281,Rice,1
282,Fruits,1
285,Rice,1
287,Salad,1
292,Chicken,1
293,Rice,1
295,Soup,1
298,Chicken,1
