Food_ID,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type
2,Soup,22,2025-03-24,791,Grocery Store,West James,Non-Vegetarian,Dinner
4,Fruits,15,2025-03-16,930,Restaurant,Kellytown,Vegan,Lunch
5,Soup,14,2025-03-19,279,Restaurant,Garciaport,Vegan,Dinner
8,Rice,49,2025-03-28,343,Catering Service,South Christopherborough,Vegetarian,Lunch
10,Rice,41,2025-03-20,528,Supermarket,Markport,Vegan,Dinner
12,Pasta,15,2025-03-28,899,Catering Service,North Steven,Vegetarian,Lunch
14,Bread,19,2025-03-30,621,Supermarket,Sarahland,Vegetarian,Dinner
15,Salad,3,2025-03-22,74,Catering Service,Belindaville,Vegetarian,Breakfast
20,Pasta,41,2025-03-17,306,Catering Service,North Keith,Non-Vegetarian,Snacks
21,Rice,38,2025-03-26,277,Catering Service,West Aliciabury,Vegan,Dinner
24,Bread,20,2025-03-30,897,Catering Service,Villastad,Non-Vegetarian,Lunch
26,Vegetables,34,2025-03-27,95,Supermarket,Christinaland,Vegan,Dinner
27,Salad,12,2025-03-23,262,Supermarket,New Carol,Vegan,Breakfast
32,Rice,27,2025-03-21,611,Supermarket,Port Kendraborough,Non-Vegetarian,Lunch
38,Bread,48,2025-03-22,440,Grocery Store,Elliottberg,Vegetarian,Snacks
42,Rice,50,2025-03-16,179,Supermarket,North Michelle,Vegan,Lunch
44,Bread,39,2025-03-22,290,Supermarket,Bradleyport,Vegan,Snacks
48,Rice,30,2025-03-16,150,Grocery Store,North Jamesberg,Vegan,Breakfast
51,Dairy,14,2025-03-27,828,Catering Service,Torresshire,Vegetarian,Snacks
53,Fruits,13,2025-03-16,174,Grocery Store,North Carolfurt,Vegetarian,Lunch
54,Soup,15,2025-03-17,368,Grocery Store,North Lindseychester,Non-Vegetarian,Snacks
57,Chicken,23,2025-03-17,977,Restaurant,South Jessicachester,Vegan,Dinner
60,Pasta,49,2025-03-28,153,Restaurant,Hawkinsmouth,Non-Vegetarian,Breakfast
62,Rice,21,2025-03-21,520,Catering Service,Port Andre,Non-Vegetarian,Breakfast
68,Rice,15,2025-03-25,113,Catering Service,East Elizabethberg,Vegetarian,Snacks
75,Bread,35,2025-03-24,389,Grocery Store,Davidborough,Vegetarian,Dinner
76,Pasta,40,2025-03-16,905,Restaurant,North Kennethshire,Vegan,Lunch
77,Rice,4,2025-03-19,890,Restaurant,Pereztown,Vegetarian,Lunch
82,Vegetables,26,2025-03-23,631,Supermarket,North Kevinhaven,Non-Vegetarian,Snacks
87,Salad,37,2025-03-28,34,Grocery Store,North Garybury,Vegan,Breakfast
91,Vegetables,9,2025-03-22,275,Supermarket,Brittanyport,Vegetarian,Breakfast
93,Salad,49,2025-03-20,264,Catering Service,New Richard,Vegetarian,Lunch
99,Bread,8,2025-03-28,162,Restaurant,Penabury,Non-Vegetarian,Dinner
102,Rice,35,2025-03-19,584,Supermarket,Moralesside,Vegetarian,Snacks
103,Bread,35,2025-03-30,391,Supermarket,South Jerryside,Non-Vegetarian,Snacks
105,Rice,2,2025-03-24,698,Grocery Store,Phillipsmouth,Non-Vegetarian,Breakfast
112,Chicken,32,2025-03-25,308,Catering Service,Brittanyside,Vegetarian,Lunch
117,Soup,32,2025-03-21,530,Catering Service,Johnstonhaven,Non-Vegetarian,Snacks
118,Dairy,42,2025-03-28,863,Restaurant,Port Michael,Vegan,Lunch
